127.0.0.1 - - [24/Jun/2023:17:08:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:08:17 +0530] "GET /AdvClass9/Page1.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:08:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:27:24 +0530] "GET /AdvClass9/DemoPage.jsp HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:34:18 +0530] "GET /AdvClass9/DemoPage.jsp HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:34:34 +0530] "GET /AdvClass9/DemoPage.jsp HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:36:10 +0530] "GET /AdvClass9/index.jsp HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:36:45 +0530] "GET /AdvClass9/index.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:37:38 +0530] "GET /AdvClass9/index.jsp HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:41:24 +0530] "GET /AdvClass9/index.jsp HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:41:25 +0530] "GET /AdvClass9/index.jsp HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:41:25 +0530] "GET /AdvClass9/index.jsp HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:41:25 +0530] "GET /AdvClass9/index.jsp HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:41:40 +0530] "GET /AdvClass9/index.jsp HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:42:29 +0530] "GET /AdvClass9/index.jsp HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:52:31 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:52:32 +0530] "GET /AdvClass9/Page2.jsp HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:52:57 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:52:57 +0530] "GET /AdvClass9/Page2.jsp HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:53:06 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:53:06 +0530] "GET /AdvClass9/Page2.jsp;jsessionid=091CC7A4B20C40E699E33FF65B10751C HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:53:28 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:54:34 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 500 2892
0:0:0:0:0:0:0:1 - - [24/Jun/2023:17:54:57 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 200 624
