127.0.0.1 - - [26/Aug/2023:12:48:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:48:48 +0530] "GET /AdvClass6/Login.html HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:48:49 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:48:58 +0530] "POST /AdvClass6/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:48:59 +0530] "GET /AdvClass6/GetAllEmp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:49:03 +0530] "GET /AdvClass6/AddNewEmployee.html HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:49:15 +0530] "POST /AdvClass6/AddEmp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:49:15 +0530] "GET /AdvClass6/GetAllEmp HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:49:27 +0530] "GET /AdvClass6/DeleteEmp?empid=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:49:27 +0530] "GET /AdvClass6/GetAllEmp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:49:43 +0530] "POST /AdvClass6/AddEmp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:49:43 +0530] "GET /AdvClass6/GetAllEmp HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:49:51 +0530] "POST /AdvClass6/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:49:51 +0530] "GET /AdvClass6/ViewEmpInfo HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:50:13 +0530] "POST /AdvClass6/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:50:13 +0530] "GET /AdvClass6/Error.html HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:50:21 +0530] "POST /AdvClass6/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:50:21 +0530] "GET /AdvClass6/GetAllEmp HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:50:30 +0530] "POST /AdvClass6/AddEmp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:50:30 +0530] "GET /AdvClass6/GetAllEmp HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:50:54 +0530] "POST /AdvClass6/AddEmp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:50:54 +0530] "GET /AdvClass6/GetAllEmp HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:50:57 +0530] "GET /AdvClass6/GetAllEmp HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:51:13 +0530] "POST /AdvClass6/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:12:51:13 +0530] "GET /AdvClass6/ViewEmpInfo HTTP/1.1" 200 421
