127.0.0.1 - - [02/Sep/2023:10:13:26 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:13:29 +0530] "GET /AdvClass9/DemoPage.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:13:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:16:52 +0530] "GET /AdvClass9/DemoPage.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:18:27 +0530] "GET /AdvClass9/DemoPage.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:18:47 +0530] "GET /AdvClass9/DemoPage.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:19:11 +0530] "GET /AdvClass9/Page1.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:20:49 +0530] "GET /AdvClass9/DemoPage.jsp HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:21:06 +0530] "GET /AdvClass9/DemoPage.jsp HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:21:16 +0530] "GET /AdvClass9/DemoPage.jsp HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:21:18 +0530] "GET /AdvClass9/DemoPage.jsp HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:21:24 +0530] "GET /AdvClass9/DemoPage.jsp HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:24:18 +0530] "GET /AdvClass9/index.jsp HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:30:37 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:32:00 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:36:49 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:44:12 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:49:47 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:50:07 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:52:58 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:55:44 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:56:04 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:58:15 +0530] "GET /AdvClass9/Page3.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:10:58:15 +0530] "GET /AdvClass9/Page2.jsp HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:01:00 +0530] "GET /AdvClass11/Login.jsp HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:01:17 +0530] "POST /AdvClass11/Loginfun.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:01:18 +0530] "GET /AdvClass11/ShowAllEmps.jsp HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:01:22 +0530] "GET /AdvClass11/AddNewEmp.jsp HTTP/1.1" 500 3290
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:01:28 +0530] "GET /AdvClass11/ShowAllEmps.jsp HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:01:31 +0530] "GET /AdvClass11/Login.jsp HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:01:36 +0530] "POST /AdvClass11/Loginfun.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:01:36 +0530] "GET /AdvClass11/ViewEmp.jsp HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:01:45 +0530] "POST /AdvClass11/Loginfun.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:01:45 +0530] "GET /AdvClass11/ViewEmp.jsp HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:01:55 +0530] "POST /AdvClass11/Loginfun.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:01:55 +0530] "GET /AdvClass11/ViewEmp.jsp HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:02:51 +0530] "POST /AdvClass11/Loginfun.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:02:51 +0530] "GET /AdvClass11/Login.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:03:03 +0530] "POST /AdvClass11/Loginfun.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:03:03 +0530] "GET /AdvClass11/Login.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:03:08 +0530] "POST /AdvClass11/Loginfun.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:03:08 +0530] "GET /AdvClass11/ShowAllEmps.jsp HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:03:15 +0530] "GET /AdvClass11/AddNewEmp.jsp HTTP/1.1" 500 3290
0:0:0:0:0:0:0:1 - - [02/Sep/2023:11:09:00 +0530] "GET /AdvClass11/Login.jsp HTTP/1.1" 200 678
